,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.3869257950530035,0.32098765432098764,0.9967693397061427,0.37720848056537104,0.3245192307692308,0.4748201438848921,0.5792079207920792,0.9189022271972825,0.49434836644167246,0.9551536251556731
recall,0.7275747508305648,0.43333333333333335,0.9345643153526971,0.7849264705882353,0.7238605898123325,0.6923076923076923,0.639344262295082,0.9189022271972825,0.7051302020742768,0.9189022271972825
f1-score,0.5051903114186852,0.36879432624113473,0.9646650676717492,0.5095465393794749,0.44813278008298757,0.5633001422475107,0.6077922077922077,0.9189022271972825,0.5667744821191072,0.9326213916268677
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9189022271972825,25907.0,25907.0
