,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.348993288590604,0.5287356321839081,0.9986374165417632,0.3026404874746107,0.3289630512514899,0.4497907949790795,0.3341404358353511,0.9000270197243988,0.4702715866938295,0.9539037520673647
recall,0.6910299003322259,0.38333333333333336,0.9123236514522821,0.8216911764705882,0.739946380697051,0.7517482517482518,0.7540983606557377,0.9000270197243988,0.7220244363842101,0.9000270197243988
f1-score,0.46376811594202894,0.4444444444444445,0.9535312357698895,0.4423552696684809,0.4554455445544555,0.56282722513089,0.4630872483221476,0.9000270197243988,0.5407798691189052,0.919800298218052
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9000270197243988,25907.0,25907.0
