,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.366120218579235,0.6282051282051282,0.9986001354707609,0.3057795698924731,0.2884990253411306,0.5013123359580053,0.5333333333333333,0.9045431736596287,0.5174071066828666,0.9559879421229796
recall,0.6677740863787376,0.4083333333333333,0.9175933609958506,0.8363970588235294,0.7935656836461126,0.6678321678321678,0.6994535519125683,0.9045431736596287,0.7129927489889,0.9045431736596287
f1-score,0.47294117647058825,0.494949494949495,0.9563844739971887,0.4478346456692913,0.42315939957112225,0.5727136431784109,0.6052009456264775,0.9045431736596287,0.5675976827803677,0.923558244301796
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9045431736596287,25907.0,25907.0
