,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.010220125786163521,0.033582089552238806,0.5051903114186851,0.07406000759589822,0.18299750891902913,0.14635898692872557
recall,0.04318936877076412,0.0650994575045208,0.5069444444444444,0.17075306479859895,0.20507775690657645,0.17075306479859895
f1-score,0.01652892561983471,0.04430769230769231,0.5060658578856153,0.10331125827814569,0.18896749193771412,0.15343636386057907
support,301.0,553.0,288.0,1142.0,1142.0,1142.0
