,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5780590717299579,0.7009345794392523,0.998961847910719,0.5172074729596854,0.4778393351800554,0.8885245901639345,0.9560439560439561,0.9550241080038573,0.7310815504896515,0.9735675522503109
recall,0.9102990033222591,0.625,0.9575420847499793,0.9669117647058824,0.9249329758713136,0.9475524475524476,0.9508196721311475,0.9550241080038573,0.8975797069047184,0.9550241080038573
f1-score,0.7070967741935483,0.6607929515418502,0.977813532051825,0.6739269698910955,0.6301369863013698,0.9170896785109984,0.9534246575342467,0.9550241080038573,0.7886116500035619,0.9609820550486894
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9550241080038573,25925.0,25925.0
