,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5456349206349206,0.7628865979381443,0.999090515374621,0.5225933202357563,0.4892703862660944,0.8203592814371258,0.9617486338797814,0.9543683702989393,0.728797665109492,0.9731633144626932
recall,0.9136212624584718,0.6166666666666667,0.9565055145534456,0.9779411764705882,0.9168900804289544,0.958041958041958,0.9617486338797814,0.9543683702989393,0.9002021846428381,0.9543683702989393
f1-score,0.6832298136645962,0.6820276497695853,0.9773343501101508,0.6811779769526248,0.6380597014925374,0.8838709677419354,0.9617486338797814,0.9543683702989393,0.7867784419444588,0.9603158932588294
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9543683702989393,25925.0,25925.0
