,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5782881002087683,0.7717391304347826,0.9990050612103647,0.5439503619441571,0.4567243675099867,0.8238805970149253,0.9565217391304348,0.9551783992285439,0.7328727653504884,0.9734857471580548
recall,0.920265780730897,0.5916666666666667,0.9575420847499793,0.9669117647058824,0.9195710455764075,0.965034965034965,0.9617486338797814,0.9551783992285439,0.8975344201920826,0.9551783992285439
f1-score,0.7102564102564102,0.669811320754717,0.9778342330898699,0.6962276637988086,0.6103202846975089,0.8888888888888888,0.9591280653950953,0.9551783992285439,0.7874952666973284,0.9609917278737694
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9551783992285439,25925.0,25925.0
