,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.6208791208791209,0.43669724770642204,0.7264150943396226,0.5265237020316027,0.5946638209750552,0.5583062526585623
recall,0.7508305647840532,0.8607594936708861,0.8020833333333334,0.8169877408056042,0.8045577972627576,0.8169877408056042
f1-score,0.6796992481203008,0.5794278758368838,0.7623762376237623,0.6403568977350721,0.6738344538603157,0.6519942604707976
support,301.0,553.0,288.0,1142.0,1142.0,1142.0
