,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5304518664047151,0.6302521008403361,0.999037072701011,0.4697926059513075,0.41687041564792177,0.7975460122699386,0.9608938547486033,0.944300768132165,0.686406275509119,0.9698958309949208
recall,0.8970099667774086,0.625,0.9470954356846473,0.9577205882352942,0.9142091152815014,0.9090909090909091,0.9398907103825137,0.944300768132165,0.8842881036360392,0.944300768132165
f1-score,0.6666666666666666,0.6276150627615062,0.9723731015826357,0.6303690260133091,0.5726280436607892,0.8496732026143791,0.9502762430939227,0.944300768132165,0.7528001923418869,0.9527768680746586
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.944300768132165,25907.0,25907.0
