,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5768421052631579,0.7037037037037037,0.9987034315844066,0.5247225025227044,0.47493036211699163,0.87248322147651,0.9608938547486033,0.9553788551356777,0.7303255973451538,0.9732812931839318
recall,0.9102990033222591,0.6333333333333333,0.9588381742738589,0.9558823529411765,0.9142091152815014,0.9090909090909091,0.9398907103825137,0.9553788551356777,0.8887919426607932,0.9553788551356777
f1-score,0.7061855670103094,0.6666666666666667,0.9783648757356366,0.6775244299674267,0.6251145737855178,0.8904109589041096,0.9502762430939227,0.9553788551356777,0.7849347593090842,0.9611863385786077
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9553788551356777,25907.0,25907.0
