,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.54,0.7008547008547008,0.9988704001390277,0.520686175580222,0.43638676844783714,0.8285714285714286,0.9613259668508287,0.9509785000192998,0.7123850629205778,0.9718739658047997
recall,0.8970099667774086,0.6833333333333333,0.9539834024896265,0.9485294117647058,0.9195710455764075,0.9125874125874126,0.9508196721311475,0.9509785000192998,0.8951191778085773,0.9509785000192998
f1-score,0.6741573033707866,0.6919831223628692,0.9759110299891759,0.6723127035830618,0.5918895599654875,0.8685524126455908,0.956043956043956,0.9509785000192998,0.7758357268515611,0.9578604275418338
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9509785000192998,25907.0,25907.0
