,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.7296587926509186,0.7978723404255319,0.9982595406885427,0.5627615062761506,0.7086956521739131,0.9191919191919192,0.9611111111111111,0.9712246865959498,0.811078694645441,0.9797744856186146
recall,0.9235880398671097,0.625,0.9750393896674683,0.9889705882352942,0.8739946380697051,0.9545454545454546,0.9453551912568307,0.9712246865959498,0.8980704716631233,0.9712246865959498
f1-score,0.81524926686217,0.7009345794392524,0.9865128474042999,0.7173333333333334,0.7827130852340937,0.9365351629502573,0.953168044077135,0.9712246865959498,0.841778045614363,0.973835261537152
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9712246865959498,25925.0,25925.0
