,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6025641025641025,0.7912087912087912,0.9988416491483976,0.540650406504065,0.5719063545150501,0.9026845637583892,0.9717514124293786,0.9624300867888139,0.7685153257325963,0.9762705083533154
recall,0.9368770764119602,0.6,0.9653370926279128,0.9779411764705882,0.9168900804289544,0.9405594405594405,0.9398907103825137,0.9624300867888139,0.8967850824116244,0.9624300867888139
f1-score,0.7334200260078024,0.6824644549763034,0.9818036139751618,0.6963350785340314,0.7044284243048403,0.9212328767123287,0.9555555555555556,0.9624300867888139,0.8107485757237176,0.9666997908842071
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9624300867888139,25925.0,25925.0
