,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.7642045454545454,0.8144329896907216,0.9983897622780626,0.5990990990990991,0.6326530612244898,0.942652329749104,0.9941520467836257,0.9726133076181293,0.8207976906113783,0.9805338363040815
recall,0.893687707641196,0.6583333333333333,0.9769052160212289,0.9779411764705882,0.9142091152815014,0.9195804195804196,0.9289617486338798,0.9726133076181293,0.8956598167088783,0.9726133076181293
f1-score,0.8238897396630933,0.728110599078341,0.987530649454073,0.7430167597765364,0.7478070175438597,0.9309734513274337,0.9604519774011299,0.9726133076181293,0.845968599177781,0.9750350063979816
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9726133076181293,25925.0,25925.0
