,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.6096579476861167,0.5767918088737202,0.9562982005141388,0.6927056389032592,0.7142493190246585,0.711948006775385
recall,0.908273381294964,0.6104756170981337,0.9202226345083488,0.8121714516781238,0.8129905443004821,0.8121714516781238
f1-score,0.7295930652540332,0.5931558935361217,0.9379136463914276,0.7476966030711959,0.7535542017271942,0.7518802139551485
support,1668.0,1661.0,1617.0,4946.0,4946.0,4946.0
