,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.5418410041841004,0.4594059405940594,0.8370607028753994,0.5469183786785119,0.6127692158845197,0.5763740016077443
recall,0.8604651162790697,0.8390596745027125,0.9097222222222222,0.862521891418564,0.8697490043346682,0.862521891418564
f1-score,0.6649550706033376,0.5937300063979526,0.8718801996672213,0.6693849813115867,0.7101884255561705,0.6826494459665781
support,301.0,553.0,288.0,1142.0,1142.0,1142.0
