,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6401869158878505,0.8395061728395061,0.999010284435647,0.541795665634675,0.4909847434119279,0.9183673469387755,0.9771428571428571,0.9602810051337476,0.7724277123273199,0.9761427109584908
recall,0.9102990033222591,0.5666666666666667,0.9633195020746887,0.9650735294117647,0.9490616621983914,0.9440559440559441,0.9344262295081968,0.9602810051337476,0.8904146481768445,0.9602810051337476
f1-score,0.7517146776406036,0.6766169154228856,0.9808403219332897,0.6939854593522803,0.6471663619744059,0.9310344827586208,0.9553072625698323,0.9602810051337476,0.805237925950274,0.9652113382651866
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9602810051337476,25907.0,25907.0
