,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.744,0.7192982456140351,0.9982287449392713,0.6793692509855453,0.6899383983572895,0.9381443298969072,0.9880239520958084,0.9774192303238507,0.8224289888412653,0.9821134866722343
recall,0.9269102990033222,0.6833333333333333,0.9821576763485477,0.9503676470588235,0.900804289544236,0.9545454545454546,0.9016393442622951,0.9774192303238507,0.8999654348708589,0.9774192303238507
f1-score,0.8254437869822485,0.7008547008547009,0.990128001338576,0.7923371647509577,0.7813953488372093,0.9462738301559792,0.9428571428571428,0.9774192303238507,0.8541842822538307,0.9788981754565241
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9774192303238507,25907.0,25907.0
