,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6057906458797327,0.8452380952380952,0.9989237127604615,0.5047984644913628,0.5654281098546042,0.8888888888888888,0.9664804469273743,0.9598564094646235,0.767935480577217,0.975583287414
recall,0.9036544850498339,0.5916666666666667,0.9627800829875519,0.9669117647058824,0.938337801608579,0.951048951048951,0.9453551912568307,0.9598564094646235,0.8942507061891851,0.9598564094646235
f1-score,0.7253333333333334,0.696078431372549,0.9805189317106153,0.6633039092055486,0.7056451612903226,0.9189189189189189,0.9558011049723757,0.9598564094646235,0.8065142558290949,0.9647634378397243
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9598564094646235,25907.0,25907.0
