,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.697368421052632,0.52128764278297,0.906666666666667,0.632379793061473,0.708440910167423,0.66488613064433
recall,0.880398671096346,0.907775768535262,0.944444444444444,0.909807355516638,0.910872961358684,0.909807355516638
f1-score,0.778267254038179,0.662269129287599,0.925170068027211,0.746140035906643,0.788568817117663,0.759143827980185
support,301,553,288,1142,1142,1142
