,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6505102040816326,0.72,0.9977616116396195,0.5391849529780565,0.46368715083798884,0.7540453074433657,0.8465346534653465,0.9556490523796657,0.7102462686351443,0.9713630730358203
recall,0.8471760797342193,0.6,0.9617842323651452,0.9485294117647058,0.8900804289544236,0.8146853146853147,0.9344262295081968,0.9556490523796657,0.8566688138588578,0.9556490523796657
f1-score,0.7359307359307359,0.6545454545454547,0.9794426485812682,0.6875416389073952,0.6097337006427916,0.7831932773109243,0.8883116883116883,0.9556490523796657,0.7626713063186082,0.9608459518680864
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9556490523796657,25907.0,25907.0
