,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.7485029940119761,0.7171717171717171,0.9969771798365122,0.5293522267206477,0.500772797527048,0.8888888888888888,0.9652777777777778,0.9614389933222681,0.7638490831335096,0.9744136319020856
recall,0.8305647840531561,0.5916666666666667,0.9716597510373444,0.9613970588235294,0.868632707774799,0.6433566433566433,0.7595628415300546,0.9614389933222681,0.8038343504631705,0.9614389933222681
f1-score,0.7874015748031498,0.6484018264840182,0.9841556694965117,0.6827676240208878,0.6352941176470588,0.7464503042596348,0.8501529051987766,0.9614389933222681,0.7620891459871483,0.9653923954946195
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9614389933222681,25907.0,25907.0
