,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6539440203562341,0.6198347107438017,0.9977747346799042,0.5572354211663066,0.5146103896103896,0.7777777777777778,0.9152542372881356,0.9603968039525996,0.7194901845175071,0.9728108285602151
recall,0.8538205980066446,0.625,0.9674688796680498,0.9485294117647058,0.8498659517426274,0.8321678321678322,0.8852459016393442,0.9603968039525996,0.8517283678556006,0.9603968039525996
f1-score,0.7406340057636888,0.6224066390041494,0.9823881351647427,0.7020408163265306,0.6410515672396361,0.8040540540540541,0.9,0.9603968039525996,0.7703678882218289,0.9645599871852064
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9603968039525996,25907.0,25907.0
