,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.7942857142857143,0.8617021276595744,0.9989246849326853,0.5383064516129032,0.4871447902571042,0.9166666666666666,0.8656716417910447,0.9614657666345227,0.7803860110293848,0.9770367637447792
recall,0.9235880398671097,0.675,0.9629322497719546,0.9816176470588235,0.9651474530831099,0.9615384615384616,0.9508196721311475,0.9614657666345227,0.9172347890643724,0.9614657666345227
f1-score,0.8540706605222734,0.7570093457943925,0.980598306838094,0.6953125,0.6474820143884892,0.9385665529010239,0.9062499999999999,0.9614657666345227,0.8256127686348961,0.9663267475460088
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9614657666345227,25925.0,25925.0
