,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5714285714285714,0.7448979591836735,0.9985769114666436,0.48626373626373626,0.5964285714285714,0.873015873015873,0.9885057471264368,0.9575699132111861,0.7513024814162151,0.974450921000253
recall,0.9435215946843853,0.6083333333333333,0.9601127788373829,0.9761029411764706,0.8954423592493298,0.9615384615384616,0.9398907103825137,0.9575699132111861,0.8978488827431254,0.9575699132111861
f1-score,0.7117794486215538,0.6697247706422018,0.978967171877312,0.6491442542787286,0.7159699892818864,0.9151414309484193,0.9635854341736695,0.9575699132111861,0.8006160714033959,0.9629161312202106
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9575699132111861,25925.0,25925.0
