,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6160714285714286,0.6923076923076923,0.9987526345219149,0.572354211663067,0.5119047619047619,0.8065476190476191,0.96045197740113,0.9601542912246867,0.7369129036310876,0.9745483880703443
recall,0.9169435215946844,0.675,0.9627663985405092,0.9742647058823529,0.9222520107238605,0.9475524475524476,0.9289617486338798,0.9601542912246867,0.9039629761325335,0.9601542912246867
f1-score,0.7369826435246996,0.6835443037974683,0.9804294128823865,0.7210884353741497,0.6583732057416267,0.8713826366559487,0.9444444444444445,0.9601542912246867,0.7994635832029606,0.9646961525190407
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9601542912246867,25925.0,25925.0
