,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5461847389558233,0.5547945205479452,0.9990816058777224,0.48107109879963067,0.41140776699029125,0.8151515151515152,0.9325842696629213,0.9447637415621987,0.6771822165694071,0.9699433422937855
recall,0.9036544850498339,0.675,0.9472178455925035,0.9577205882352942,0.9088471849865952,0.9405594405594405,0.907103825136612,0.9447637415621987,0.8914433385086113,0.9447637415621987
f1-score,0.6808510638297872,0.6090225563909775,0.9724587093478632,0.6404425322679779,0.5664160401002506,0.8733766233766233,0.9196675900277007,0.9447637415621987,0.7517478736201687,0.9531161748429472
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9447637415621987,25925.0,25925.0
