,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5753138075313807,0.639344262295082,0.9990795932678822,0.504863813229572,0.3593429158110883,0.8,0.9491525423728814,0.9430665380906461,0.6895852763582695,0.9703709984657973
recall,0.9136212624584718,0.65,0.945144705199436,0.9540441176470589,0.938337801608579,0.9230769230769231,0.9180327868852459,0.9430665380906461,0.8917510852679593,0.9430665380906461
f1-score,0.7060333761232349,0.6446280991735538,0.9713640431243875,0.6603053435114504,0.5196733481811432,0.8571428571428571,0.9333333333333333,0.9430665380906461,0.7560686286557087,0.9522166454415641
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9430665380906461,25925.0,25925.0
