,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.375,1.0,0.9992517770295548,0.23997862105825762,0.2357910906298003,0.3841698841698842,0.48739495798319327,0.8751688732774926,0.5316551901243843,0.9546611779540815
recall,0.717607973421927,0.15,0.8866390041493776,0.8253676470588235,0.8230563002680965,0.6958041958041958,0.6338797814207651,0.8751688732774926,0.6760507003033122,0.8751688732774926
f1-score,0.49258836944127704,0.2608695652173913,0.939583150118723,0.3718426501035197,0.3665671641791045,0.49502487562189057,0.5510688836104514,0.8751688732774926,0.4967920940417653,0.9034223197943734
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.8751688732774926,25907.0,25907.0
