,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.3754716981132076,0.7941176470588235,0.9991093193324583,0.2360248447204969,0.2225392296718973,0.4429530201342282,0.5260869565217391,0.8733546917821439,0.5137575307932644,0.9542289273049299
recall,0.6611295681063123,0.225,0.884356846473029,0.8382352941176471,0.8364611260053619,0.6923076923076923,0.6612021857923497,0.8733546917821439,0.6855275304003418,0.8733546917821439
f1-score,0.4789410348977136,0.35064935064935066,0.9382373657334037,0.3683360258481422,0.35154929577464794,0.5402455661664394,0.5859564164648909,0.8733546917821439,0.5162735793620841,0.9028834920785568
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.8733546917821439,25907.0,25907.0
