,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.33748055987558323,0.6111111111111112,0.9989729704495588,0.24860022396416573,0.24230145867098865,0.4190283400809717,0.4785992217898833,0.8774848496545335,0.4765848408488947,0.9527620449477647
recall,0.7209302325581395,0.36666666666666664,0.8879253112033195,0.8161764705882353,0.8016085790884718,0.7237762237762237,0.6721311475409836,0.8774848496545335,0.7127449473460057,0.8774848496545335
f1-score,0.4597457627118644,0.45833333333333326,0.9401814547132092,0.3811158798283261,0.37212196639701306,0.5307692307692308,0.5590909090909091,0.8774848496545335,0.5287655052634123,0.9052379164558206
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.8774848496545335,25907.0,25907.0
