,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6490384615384616,0.71900826446281,0.998671181790904,0.582579185520362,0.4942857142857143,0.95,0.9774011299435028,0.9632531748176169,0.7672834196488221,0.9766269002567148
recall,0.8970099667774086,0.725,0.9667219917012448,0.9466911764705882,0.9276139410187667,0.9300699300699301,0.9453551912568307,0.9632531748176169,0.9054945996135385,0.9632531748176169
f1-score,0.7531380753138075,0.7219917012448133,0.9824369056906112,0.7212885154061625,0.6449207828518173,0.9399293286219081,0.961111111111111,0.9632531748176169,0.8178309171771759,0.9676034476267591
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9632531748176169,25907.0,25907.0
