,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6691358024691358,0.7477477477477478,0.9988431876606684,0.569247546346783,0.49854227405247814,0.9553903345724907,0.9776536312849162,0.963561971667889,0.7737943605906029,0.976996163683257
recall,0.9003322259136213,0.6916666666666667,0.967344398340249,0.9595588235294118,0.9168900804289544,0.8986013986013986,0.9562841530054644,0.963561971667889,0.8986682494979664,0.963561971667889
f1-score,0.7677053824362606,0.7186147186147185,0.982841483979764,0.7145790554414784,0.6458923512747876,0.9261261261261261,0.9668508287292817,0.963561971667889,0.8175157066574882,0.9678946800932018
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.963561971667889,25907.0,25907.0
