,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5978021978021978,0.7256637168141593,0.9986666093165297,0.5555555555555556,0.5059347181008902,0.8737541528239202,0.9664804469273743,0.9599336086771915,0.7462653424772324,0.9747396021790918
recall,0.9036544850498339,0.6833333333333333,0.9634024896265561,0.9558823529411765,0.9142091152815014,0.9195804195804196,0.9453551912568307,0.9599336086771915,0.8979167695813789,0.9599336086771915
f1-score,0.7195767195767195,0.703862660944206,0.9807176497919703,0.7027027027027027,0.6513849092645655,0.8960817717206134,0.9558011049723757,0.9599336086771915,0.8014467884247363,0.9647114410097803
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9599336086771915,25907.0,25907.0
