,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.5324947589098532,0.42424242424242425,0.8125,0.519158121964382,0.5897457277174258,0.5506891270034383
recall,0.8438538205980066,0.810126582278481,0.9027777777777778,0.8423817863397548,0.8522527268847551,0.8423817863397548
f1-score,0.6529562982005142,0.5568676196395277,0.8552631578947368,0.6424040066777963,0.6883623585782596,0.6574460848447442
support,301.0,553.0,288.0,1142.0,1142.0,1142.0
