,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5965665236051502,0.7894736842105263,0.9989668976798244,0.5454545454545454,0.5176470588235295,0.8664495114006515,0.9766081871345029,0.9598564094646235,0.7558809154726758,0.9752475811158693
recall,0.9235880398671097,0.625,0.9629460580912863,0.9595588235294118,0.9436997319034852,0.9300699300699301,0.912568306010929,0.9598564094646235,0.8939186984960218,0.9598564094646235
f1-score,0.7249022164276401,0.6976744186046512,0.9806258054974542,0.6955363091272485,0.6685660018993352,0.897133220910624,0.943502824858757,0.9598564094646235,0.8011343996179585,0.9646808352518312
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9598564094646235,25907.0,25907.0
