,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.545816733067729,0.7333333333333333,0.998959236773634,0.5158415841584159,0.48693259972489683,0.806060606060606,0.9710982658959537,0.9532558767900567,0.722577479859224,0.972621161862424
recall,0.9102990033222591,0.6416666666666667,0.955850622406639,0.9577205882352942,0.9490616621983914,0.9300699300699301,0.9180327868852459,0.9532558767900567,0.8946716085406324,0.9532558767900567
f1-score,0.6824408468244084,0.6844444444444444,0.9769296013570823,0.6705276705276705,0.6436363636363637,0.8636363636363636,0.9438202247191011,0.9532558767900567,0.7807765021636334,0.9594362117752026
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9532558767900567,25907.0,25907.0
