,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6060606060606061,0.6902654867256637,0.9991393777701278,0.5926352128883774,0.48830811554332876,0.8442367601246106,0.9488636363636364,0.9605512023777357,0.7385013136394788,0.9751859090921576
recall,0.9302325581395349,0.65,0.9634439834024896,0.9466911764705882,0.9517426273458445,0.9475524475524476,0.912568306010929,0.9605512023777357,0.9003187284174049,0.9605512023777357
f1-score,0.7339449541284403,0.6695278969957081,0.9809670673229262,0.7289455060155697,0.6454545454545455,0.8929159802306424,0.9303621169916435,0.9605512023777357,0.7974454381627822,0.9652023869918213
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9605512023777357,25907.0,25907.0
