,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.7245179063360881,0.3736842105263158,0.8082595870206489,0.5228013029315961,0.6354872346276843,0.5757495790631891
recall,0.8737541528239202,0.7703435804701627,0.9513888888888888,0.8432574430823118,0.865162207394324,0.8432574430823118
f1-score,0.7921686746987953,0.503248670998228,0.8740031897926633,0.6454423592493298,0.7231401784965622,0.6729003544716677
support,301.0,553.0,288.0,1142.0,1142.0,1142.0
