,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6357142857142857,0.7476635514018691,0.9984827466620426,0.4868301544050863,0.49356223175965663,0.7685714285714286,0.95,0.9527868852459016,0.7258320569306241,0.9722303666413699
recall,0.8870431893687708,0.6666666666666666,0.9550128534704371,0.9852941176470589,0.9249329758713136,0.9405594405594405,0.9344262295081968,0.9527868852459016,0.8991336390131265,0.9527868852459016
f1-score,0.7406380027739252,0.7048458149779735,0.9762641461450431,0.6516717325227964,0.6436567164179104,0.8459119496855345,0.9421487603305784,0.9527868852459016,0.7864481604076802,0.9589967071099439
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9527868852459016,25925.0,25925.0
