,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5616161616161616,0.7075471698113207,0.9989524682466937,0.44380165289256196,0.521870286576169,0.742296918767507,0.9398907103825137,0.9473481195756991,0.7022821954704181,0.9707645280243609
recall,0.9235880398671097,0.625,0.9489592835226801,0.9871323529411765,0.9276139410187667,0.9265734265734266,0.9398907103825137,0.9473481195756991,0.8969653934722391,0.9473481195756991
f1-score,0.6984924623115577,0.663716814159292,0.9733143379616832,0.6123147092360318,0.667953667953668,0.8242612752721616,0.9398907103825137,0.9473481195756991,0.7685634253252726,0.954841739499083
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9473481195756991,25925.0,25925.0
