,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.05789697743720732,0.08511960236098168,0.5815056312981625,0.15896505632995991,0.2415074036987838,0.23822289197249924
recall,0.0815347721822542,0.3299217338952438,0.6066790352504638,0.3366356651839871,0.33937851377598727,0.3366356651839871
f1-score,0.06771222305202888,0.13532534880849487,0.5938256658595643,0.21595330739299612,0.26562107924002937,0.26242124830501606
support,1668.0,1661.0,1617.0,4946.0,4946.0,4946.0
