,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6129753914988815,0.7043478260869566,0.9987840889352093,0.5268490374873354,0.4053738317757009,0.8603174603174604,0.9491525423728814,0.9512439729990356,0.7225428826392036,0.9726232599213676
recall,0.9102990033222591,0.675,0.9536445808110126,0.9558823529411765,0.9302949061662198,0.9475524475524476,0.9180327868852459,0.9512439729990356,0.8986722968111945,0.9512439729990356
f1-score,0.7326203208556151,0.6893617021276596,0.9756925295889365,0.6792945787067275,0.564686737184703,0.9018302828618969,0.9333333333333333,0.9512439729990356,0.782402783522696,0.9582982609120031
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9512439729990356,25925.0,25925.0
