,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6774193548387096,0.7777777777777778,0.9982959870495016,0.6191616766467066,0.5451664025356577,0.8496732026143791,0.9761904761904762,0.96725168756027,0.7776692682361727,0.9772790583657416
recall,0.9069767441860465,0.7,0.9716394394228377,0.9503676470588235,0.9222520107238605,0.9090909090909091,0.8961748633879781,0.96725168756027,0.8937859448386366,0.96725168756027
f1-score,0.7755681818181818,0.7368421052631577,0.984787359220037,0.7498187092095722,0.6852589641434262,0.8783783783783784,0.9344729344729344,0.96725168756027,0.8207323760722411,0.9704415174421591
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.96725168756027,25925.0,25925.0
