,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.7317073170731707,0.7685185185185185,0.99842291462427,0.5896279594137542,0.5429497568881686,0.8874172185430463,0.9392265193370166,0.967135969141755,0.7796957434854207,0.9774884330318897
recall,0.8970099667774086,0.6916666666666667,0.9712248113442242,0.9613970588235294,0.8981233243967829,0.9370629370629371,0.9289617486338798,0.967135969141755,0.897920930529347,0.967135969141755
f1-score,0.8059701492537313,0.7280701754385966,0.9846360789423905,0.7309573724668064,0.6767676767676768,0.91156462585034,0.934065934065934,0.967135969141755,0.8245760018264966,0.9704584413073916
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.967135969141755,25925.0,25925.0
