,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.5797752808988764,0.7040816326530612,0.9982040387226773,0.46600181323662737,0.38258877434135163,0.6778711484593838,0.806930693069307,0.9405952059288996,0.6593504830544693,0.9670540608023535
recall,0.8571428571428571,0.575,0.9455601659751037,0.9448529411764706,0.8954423592493298,0.8461538461538461,0.8907103825136612,0.9405952059288996,0.8506946503158954,0.9405952059288996
f1-score,0.6916890080428955,0.6330275229357798,0.9711692130665474,0.6241651487553127,0.5361155698234349,0.7527216174183516,0.8467532467532467,0.9405952059288996,0.7222344752565097,0.9495152238499833
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9405952059288996,25907.0,25907.0
