,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6767123287671233,0.7553191489361702,0.9977540707467715,0.4985781990521327,0.44952893674293404,0.7515723270440252,0.9106145251396648,0.9526768826957965,0.7200113623469745,0.971192912770798
recall,0.8205980066445183,0.5916666666666667,0.9585477178423236,0.9669117647058824,0.8954423592493298,0.8356643356643356,0.8907103825136612,0.9526768826957965,0.851363033326674,0.9526768826957965
f1-score,0.7417417417417417,0.6635514018691588,0.9777580259454426,0.6579111944965604,0.5985663082437276,0.7913907284768211,0.9005524861878453,0.9526768826957965,0.7616388409944711,0.958782052490505
support,301.0,120.0,24100.0,544.0,373.0,286.0,183.0,0.9526768826957965,25907.0,25907.0
